nigp_class_3digit,canonical_description,distinct_5digit,distinct_10digit,row_count,source
750,"CONCRETE, READY-MIX, CHICAGO - PREFORMED EXPANSION JOINT FILLER, SOUTH AREA",5,132,12339,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
755,"CONCRETE FORMS, INSULATING - 12 IN. THICK, FORM SECTION",1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
760,"LOADERS, PARTS, AND ACCESSORIES, FRONT END - LOADER, FRONT END, WITH 4 CUBIC YARD CAPACITY BUCKET",2,4,24,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
765,ROAD AND STREET SWEEPER - ROAD & HIGHWAY EQUIPMENT - STREET SWEEPERS - THREE WHEELED-REAR STEER/FRONT DUMP,4,15,119,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
775,"ANTI-ICER AND DE-ICER, RUNWAY (LIQUID) - POTASSIUM ACETATE DE-ICER",2,28,440,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
785,CRAYONS - STANDARD SIZE CRAYOLA CRAYONS 16/BOX,1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
790,"SOIL, TOP - BLACK TOPSOIL, PULVERIZED",1,1,286,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
800,"SHOES, LEATHER, ELECTRICAL HAZARD -SHOES LEATHER, 6 INCH COMPOSITE TOE ELECTRICAL HAZARD WORK BOOTS - MEN",6,15,148,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
801,"SIGNS AND POSTERS, BANNERS - PRINTING OF CARDSTOCK SIGN",2,36,514,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
803,"EARPHONES - EARPHONES, SENTRY PRO-SERIES PREMIUM EARBUDS WITH CASE - METAL IN-EAR NOISE REDUCTION BUDS WITH MICROPHONE",1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
805,"EXERCISE FITNESS EQUIPMENT - STAIR CLIMBER, COMMERCIAL USE (110V)",2,5,36,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
810,"SPRAY EQUIPMENT, VEHICLE MOUNTED - SPRAY SYSTEM FOR SALT CONVEYOR",1,1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
815,"INSPECTION, CLEANING, REPAIR AND REPLACEMENT OF EXPANSION JOINTS - IRONWORKER, STRAIGHT TIME",3,12,275,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
825,BEE KEEPING SERVICES - MAINTAINING OF BEEHIVES.,1,4,10,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
832,"TAPE, WARNING (CAUTION) - TAPE, PREFORMED ADHESIVE-BACKED REFLECTORIZED, RUBBER, WHITE OR YELLOW, 4 IN. X 120 YD. ROLL - ZONE 2",1,3,18,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
840,"VIDEO SYSTEM, DIGITAL (IN CAR), COBAN - DVMS MAINTENANCE, SUPPORT, UPGRADES YEAR 3 CHARGE BASED PER UNIT",1,12,125,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
850,"COVER, MATTRESS, PLASTIC - 36 IN. X 74 IN. X 5 IN., BED BUG PROOF, WATERPROOF, FLAME RETARDANT, ANTI-BACTERIAL, STAIN RESISTANT & ZIPPERED WITH FABRICS OF HEAVY-DUTY (TRIPLE PLY) HEALTHCARE GRADE",1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
855,RENTAL OF MOBILE STAGE - RENTAL OF 24'x20' MOBILE STAGE* 1 DAY RATE PER UNIT,1,4,7,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
875,"MEDICAL EQUIPMENT & SUPPLIES, VETERINARY (MISC)- IDENTIFICATION MICROCHIP W/ LIFETIME MICROCHIP REGISTRATION",1,1,7,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
885,"CHLORINE, LIQUID - LIQUID CHLORINE IN ONE TON CONTAINERS",8,29,792,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
890,"BASE, MANHOLE, REINFORCED CONCRETE WITH LADDER RUNGS - TYPE B 24 IN. DIAMETER WITH TWO 22 IN. I.D. OPENINGS",5,60,245,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
906,"DESIGN SERVICE, IRRIGATION SYSTEM (CITY OF CHICAGO) - DESIGN & INSTALL GROUP D LAKE SHORE DRIVE",1,1,2,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
908,"SPIRAL BING SERVICES - VERDE GLOSS CLEAR MEDIA 60"" X 164'  60164",1,2,2,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
909,"AIRPORT FACILITY MAINT. & REPAIR - RENTAL OF UTILITY TRUCK - 1 TON, W/GENERATOR AND COMPRESSOR",2,60,1656,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
910,"INTEGRATED PEST MANAGEMENT - PRICE PER SQUARE FOOT PER MONTH - FACILITIES SIZED 10,001 TO 25,000 SQUARE FEET",17,255,20079,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
912,LANDSCAPE AND IRRIGATION MAINTENANCE SERVICE - O'HARE SPECIFIC,2,7,247,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
913,"BRIDGE CONSTRUCTION - MAINTENANCE AND REPAIR, TRAFFIC CONTROL AND PROTECTION",6,39,159,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
914,"TRADESMEN SERVICES - CONTROL SPECIALISTS, STRAIGHT TIME",2,46,1149,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
915,ADVERTISING/PUBLIC RELATIONS - PRICES PER AGATE LINE PER ONE (1) COLUMN,1,2,155,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
